{{3, 0, 0, 0, 0, 0}, 0.10226319284102181}
{{2, 1, 0, 0, 0, 0}, -0.08460385470067502}
{{2, 0, 0, 1, 0, 0}, 0.06773590128334935}
{{2, 0, 0, 0, 1, 0}, 0.047617109136909655}
{{2, 0, 0, 0, 0, 0}, -0.2960695884559259}
{{1, 2, 0, 0, 0, 0}, -0.12745392094059033}
{{1, 1, 0, 1, 0, 0}, -0.06557927666003546}
{{1, 1, 0, 0, 1, 0}, 0.11637736719586038}
{{1, 0, 2, 0, 0, 0}, -0.07911822607945805}
{{1, 0, 1, 0, 0, 1}, 0.09869163756565683}
{{1, 0, 0, 2, 0, 0}, 0.10226319284102177}
{{1, 0, 0, 1, 1, 0}, 0.02310476370235646}
{{1, 0, 0, 1, 0, 0}, -0.5921391769118518}
{{1, 0, 0, 0, 2, 0}, 0.04989858774356975}
{{1, 0, 0, 0, 0, 2}, 0.04420696612782578}
{{1, 0, 0, 0, 0, 0}, 1.}
{{0, 3, 0, 0, 0, 0}, -0.024963863504256244}
{{0, 2, 0, 1, 0, 0}, 0.09853992075574132}
{{0, 2, 0, 0, 1, 0}, -0.01130992245540618}
{{0, 2, 0, 0, 0, 0}, -0.2852900733305558}
{{0, 1, 2, 0, 0, 0}, -0.02076897792995059}
{{0, 1, 1, 0, 0, 1}, 0.014584169333220244}
{{0, 1, 0, 2, 0, 0}, 0.005998345587009476}
{{0, 1, 0, 1, 1, 0}, 0.0484929208536933}
{{0, 1, 0, 1, 0, 0}, -0.1750068848370442}
{{0, 1, 0, 0, 2, 0}, 0.012976481921993872}
{{0, 1, 0, 0, 1, 0}, -0.1965371854008991}
{{0, 1, 0, 0, 0, 2}, -0.011604576459244799}
{{0, 0, 2, 1, 0, 0}, 0.08198143845187021}
{{0, 0, 2, 0, 1, 0}, -0.02371723319459359}
{{0, 0, 2, 0, 0, 0}, -0.2373504099486075}
{{0, 0, 1, 1, 0, 1}, 0.04112350953375938}
{{0, 0, 1, 0, 1, 1}, 0.01665446158169459}
{{0, 0, 1, 0, 0, 1}, -0.16666966384551257}
{{0, 0, 0, 2, 1, 0}, 0.026427749998409102}
{{0, 0, 0, 2, 0, 0}, 0.04933296833603963}
{{0, 0, 0, 1, 2, 0}, 0.026298867089922587}
{{0, 0, 0, 1, 1, 0}, -0.19984994506416892}
{{0, 0, 0, 1, 0, 2}, 0.0458067736391428}
{{0, 0, 0, 0, 3, 0}, -0.007608263227675635}
{{0, 0, 0, 0, 2, 0}, -0.07613975800926767}
{{0, 0, 0, 0, 1, 2}, -0.013251901318239535}
{{0, 0, 0, 0, 0, 2}, -0.132618513495058}
